AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,AUM,Category,Risk
lic mutual fund,2,1,0.047,30.83,0.5311,0.20620000000000002,1000.0,1000.0,Equity,High
lic mutual fund,3,3,0.0678,34.03,0.5619,0.2826,1000.0,1000.0,Equity,VeryHigh
lic mutual fund,0,0,0.0634,32.24,0.5961,0.243,1000.0,1000.0,Equity,LowtoModerate
lic mutual fund,0,1,0.0889,29.94,0.5538000000000001,0.1438,1000.0,1000.0,Equity,VeryHigh
bank of india mutual fund,2,2,0.027000000000000003,25.31,0.2228,0.15380000000000002,1000.0,1000.0,Hybrid,VeryHigh
bank of india mutual fund,0,4,0.0405,36.76,0.5529999999999999,0.243,1000.0,1000.0,Equity,Moderate
bank of india mutual fund,0,1,0.005,13.13,0.0691,0.0493,1000.0,1000.0,Hybrid,Low
bank of india mutual fund,0,0,0.0219,11.02,0.0,0.0,1000.0,1000.0,Hybrid,High
bank of india mutual fund,0,0,0.0,10.04,0.0,0.0,1000.0,1000.0,Equity,VeryHigh
bank of india mutual fund,4,5,0.01,33.31,0.12210000000000001,0.1323,1000.0,1000.0,Hybrid,ModeratelyHigh
bank of india mutual fund,5,5,0.0346,39.51,0.42479999999999996,0.19760000000000003,1000.0,1000.0,Hybrid,High
bank of india mutual fund,4,0,0.0104,34.37,0.1266,0.1348,10000.0,10000.0,Hybrid,ModeratelyHigh
bank of india mutual fund,5,0,0.019799999999999998,186.22,0.4459,0.195,500.0,500.0,Equity,Moderate
bank of india mutual fund,5,5,0.0196,172.53,0.44229999999999997,0.1918,500.0,500.0,Equity,Moderate
bank of india mutual fund,3,3,0.0028000000000000004,11.61,0.06,0.3907,5000.0,5000.0,Debt,ModeratelyHigh
uti mutual fund,4,4,0.023399999999999997,66.75,0.1632,0.1001,500.0,500.0,Hybrid,ModeratelyHigh
uti mutual fund,3,0,0.0053,3682.46,0.0679,0.0545,500.0,500.0,Debt,Moderate
uti mutual fund,4,4,0.005699999999999999,4055.46,0.0732,0.06,500.0,500.0,Debt,Moderate
uti mutual fund,3,5,0.011200000000000002,69.19,0.0812,0.10400000000000001,500.0,500.0,Debt,Moderate
nippon india mutual fund,3,5,0.0688,217.11,0.45539999999999997,0.2447,100.0,100.0,Equity,High
nippon india mutual fund,3,3,0.063,1474.68,0.46619999999999995,0.2152,100.0,100.0,Equity,High
tata mutual fund,4,3,0.073,39.93,0.21899999999999997,0.1484,100.0,100.0,Equity,VeryHigh
tata mutual fund,3,3,0.0383,515.8,0.3368,0.16149999999999998,100.0,100.0,Equity,Moderate
invesco mutual fund,0,0,0.0,10.59,0.0,0.0,500.0,500.0,Equity,VeryHigh
invesco mutual fund,3,2,0.0318,53.23,0.26530000000000004,0.1284,500.0,500.0,Hybrid,VeryHigh
mahindra manulife mutual fund,0,0,0.1039,9.11,0.1188,0.0,500.0,500.0,Other,VeryHigh
uti mutual fund,3,3,0.06,173.27,0.45659999999999995,0.2032,500.0,500.0,Equity,High
uti mutual fund,2,2,0.0535,174.09,0.233,0.1405,500.0,500.0,Equity,VeryHigh
uti mutual fund,3,0,0.042300000000000004,186.2,0.49939999999999996,0.20010000000000003,500.0,500.0,Equity,LowtoModerate
lic mutual fund,0,3,0.0716,106.6,0.3614,0.1664,1000.0,1000.0,Equity,Moderate
lic mutual fund,2,2,0.06,157.64,0.36590000000000006,0.1707,1000.0,1000.0,Equity,Moderate
invesco mutual fund,4,4,0.061200000000000004,70.78,0.39909999999999995,0.17300000000000001,100.0,100.0,Equity,Moderate
invesco mutual fund,4,4,0.0454,68.22,0.6696,0.317,500.0,500.0,Equity,VeryHigh
invesco mutual fund,0,0,0.0564,25.84,0.257,0.1421,500.0,500.0,Other,VeryHigh
